Name,Grower,Retail Price,Unit,Available,Estimate or Exact,Description
Muffins--Blueberry,Carol's Cakes (formerly Two Sisters Baking),8,6 per container,2,Exact,My mother made these muffins when I was a little girl.  They are large moist muffins with lots of blueberries.
Muffins--Gluten-Free Pumpkin,Carol's Cakes (formerly Two Sisters Baking),8,4 per container,2,Exact,A co-worker brought these gluten-free pumpkin muffins to the office and everyone was crazy about them. She shared the recipe with me and I've made them for years.  They're especially moist and spicy!
Muffins--Gluten-Free Strawberry,Carol's Cakes (formerly Two Sisters Baking),8,4 per container,3,Exact,These gluten-free muffins are packed with strawberries. 
Muffins--Pumpkin,Carol's Cakes (formerly Two Sisters Baking),8,6 per container,1,Exact,A co-worker brought these pumpkin muffins to the office and everyone was crazy about them. She shared the recipe with me and I've made them for years.  They're expecially moist and spicy!
Muffins--Pumpkin,Carol's Cakes (formerly Two Sisters Baking),6,4 per container,2,Exact,A co-worker brought these pumpkin muffins to the office and everyone was crazy about them. She shared the recipe with me and I've made them for years.  They're especially moist and spicy!
Muffins-Strawberry,Carol's Cakes (formerly Two Sisters Baking),8,6 per container,1,Exact,Packed with strawberries. 
Muffins-Strawberry,Carol's Cakes (formerly Two Sisters Baking),6,4 per container,3,Exact,Packed with strawberries. 
"Perfume - ""Amber/Patchouli"" Perfume Solid",Ginny Wall - All Nature Sings,5,ONE Tube .15 oz. ,3,Exact,"An earthy, musky scent (YES - that 70's scent)!  Essential oils and fragrance oils of patchouli and amber combine to create this scent.  The base of this product is Shea butter, beeswax, olive and avocado oil.

This Perfume Solid pairs with ""Amber/Patchouli"" Soap - found under the Bath and Beauty/Soap category.

Makes a nice TINY gift - Oooo Stocking Stuffer!!!"
"Perfume - ""Fireside"" Perfume Solid",Ginny Wall - All Nature Sings,5,ONE Tube .15 oz. ,9,Exact,"A warm, spicy and cozy scent - like an evening by the fire!  Essential oils and fragrance oils of vanilla, spices and a touch of sweet orange combine to create this scent.  The base of this product is Shea butter, beeswax, olive and avocado oil.

This Perfume Solid pairs with ""Fireside"" Soap - found under the Bath and Beauty/Soap category.

Makes a nice TINY gift - Oooo Stocking Stuffer!!!"
"Perfume - ""Lavender/Citrus"" Perfume Solid",Ginny Wall - All Nature Sings,5,ONE Tube .15 oz.,2,Exact,"Light and fresh - Lavender with a kiss of citrus!  Essential and fragrance oils of Lavender and 10x sweet orange combine to create this scent.  The base of this product is Shea butter, beeswax, olive and avocado oil.

This Perfume Solid pairs with ""Lavender"" Soap - found under the Bath and Beauty/Soap category.

Makes a nice TINY gift - Oooo Stocking Stuffer!!!"
"Perfume - ""Nature Girl"" Perfume Solid",Ginny Wall - All Nature Sings,5,ONE Tube .15 oz. ,6,Exact,"Fresh and clean like the outdoors!  A combination of essential oils and fragrance oils combine to make this scent.  (This is the fragrance I designed for myself - yup and named for myself too.)  Sweet grass, tuberose moss, lemon verbena with a touch of citrus are some of my choices for this perfume.  The base of this product is Shea butter, beeswax, olive and avocado oil.

This Perfume Solid pairs with ""Nature Girl"" Soap - found under the Bath and Beauty/Soap category.

Makes a nice TINY gift - Oooo Stocking Stuffer!!!"
Pet - Horse Treats - carrots,SHEEK TREATS for PETS,3.5,1 bag,4,Estimated,Made with oats and carrots
Pet treats - Baked Cat Treats--Chicken Treats,SHEEK TREATS for PETS,3,3 oz.,10,Estimated,"Made with chicken, egg and milk"
Pet treats - Baked Cat Treats--Tuna Treats,SHEEK TREATS for PETS,3,3 oz.,10,Estimated,"Made with tuna, egg and milk"
Pet treats - Baked Dog Treats--Beefy Treats,SHEEK TREATS for PETS,3,3 oz.,20,Estimated,Made with Beef bullion
Pet treats - Baked Dog Treats--Better Breath Bears,SHEEK TREATS for PETS,3,3 oz.,20,Exact,Made with parsley and spearmint.
Pet treats - Baked Dog Treats--Cheesy Treats,SHEEK TREATS for PETS,3,3 oz.,19,Exact,Made with Asiago-Romano Cheese and unsweetened Applesauce for balance.
Pet treats - Baked Dog Treats--Chicken Treats,SHEEK TREATS for PETS,3,3 oz.,20,Estimated,"Made with chicken bullion, turmeric and mustard"
Pet treats - Baked Dog Treats--Cranberry Treats,SHEEK TREATS for PETS,3,3 oz.,19,Exact,"Made with Cranberries, Oats and Molasses"
Pet treats - Baked Dog Treats--Oat FlaxTreats,SHEEK TREATS for PETS,3,3 oz.,20,Exact,"Made with Parsley, Spearmint, Cinnamon and Flax."
Pet treats - Baked Dog Treats--Peanut Butter Treats,SHEEK TREATS for PETS,3,3 oz.,20,Exact,Made with Creamy Peanut Butter
Pet treats - Baked Dog Treats--Pumpkin Stix,SHEEK TREATS for PETS,1,1 oz.,55,Estimated,Made with Pumpkin and Powdered Milk
Pet treats - Baked Dog Treats--Pumpkin Treats,SHEEK TREATS for PETS,3,3 oz.,20,Exact,Made with Pumpkin and Powdered Milk
Pet treats - Baked Dog Treats--Tartar Control Treats,SHEEK TREATS for PETS,3,3 oz.,20,Estimated,"Made with Parsley, Spearmint and Activated Charcoal."
Pet treats - Baked Pet Treats--Doggie Birthday Cake,SHEEK TREATS for PETS,10,1 cake,5,Estimated,"Bone shaped 7"" long made with your choice of flour(Organic Oat, Rice or Whole Wheat)then added peanut butter, honey and shreaded carrots. Name on cake with peanut butter and cream cheese mixed."
Pet treats - Horse Treats - apples,SHEEK TREATS for PETS,7,1 bag,4,Estimated,Made with oats and apples
Pie - Whole Pie--Gold Dust Pie,Carol's Cakes (formerly Two Sisters Baking),15,1,2,Exact,Delicious 9-inch pecan and coconut pie sprinkled with edible gold dust. Serve with whipped cream or vanilla ice cream.
Pork Applewood Smoked Bacon Pieces,Sentelle's Homemade Sausage Co.,4.75,1/2 lb pack,0,Exact,"Our bacon pieces are little goodies that are great for seasoning or making bits for salads. This is what is left after we slice our bacon.  A true artisan old world style slice of history.  It's naturally cured with sea salt, black pepper, and  brown  sugar, the same way our family has done for generations.  Our natural curing process uses the same tried and true methods used for hundreds of years before commercialized industrialization took over and took away the art of charcuterie.  It's a slow and labor intensive process, but the reward is the taste.  You won't find any other bacon that tastes like this because there is no other bacon made like this.  It's a lost and dying art from a different era.  Great with practically anything your heart desires or simply eaten by itself, we invite you to taste what bacon used to taste like 100 years ago.  As with all of our products there are absolutely no preservatives or chemical enhancements of any kind used in our bacon.  Apple wood is the only ingredient added during the smoking process.  This is a hand made artisan product processed from beginning to end by Jimmy and Minnie.    "
Pork Liver,JEM Farm,2.5,each,1,Exact,"NON GMO Pork Liver, .9 and .65  lb packages"
Pork Sliced Applewood Smoked Bacon,Sentelle's Homemade Sausage Co.,5.25,1/2 lb pack,0,Exact,"Our bacon is a true artisan old world style slice of history.  It's naturally cured with sea salt, black pepper, and  brown  sugar, the same way our family has done for generations.  Our natural curing process uses the same tried and true methods used for hundreds of years before commercialized industrialization took over and took away the art of charcuterie.  It's a slow and labor intensive process, but the reward is the taste.  You won't find any other bacon that tastes like this because there is no other bacon made like this.  It's a lost and dying art from a different era.  Great with practically anything your heart desires or simply eaten by itself, we invite you to taste what bacon used to taste like 100 years ago.  As with all of our products there are absolutely no preservatives or chemical enhancements of any kind used in our bacon.  Apple wood is the only ingredient added during the smoking process.  This is a hand made artisan product processed from beginning to end by Jimmy and Minnie.    "
Pork--Applewood Smoked Ham Hocks (uncured),Sentelle's Homemade Sausage Co.,3,2 per pk.,0,Exact,These are uncured so no salt will be added to the dishes you use to cook these with just applewood smoked
"Pork--Breakfast Links (Handmade, Frozen)",Sentelle's Homemade Sausage Co.,4.25,1/2   lb.  8 Links (Frozen),3,Exact,"Our original family recipe breakfast sausage stuffed in to convenient collagen casings.  Only choice cuts are used for this and all of our sausage.  As always no preservatives or chemical enhancements of any kind are used.  We make this and al of our products in our own TDA inspected facility.  These links are great not only pan fried, but go great on the grill as well.  If your health conscious, portion control is made easy with links.  No preparation needed, just simply take them from the pack and cook them however you wish!"
"Pork--Breakfast Sausage (Hot, Frozen)",Sentelle's Homemade Sausage Co.,5,1 lb package,0,Exact," Ground ""whole hog"" sausage using our family's own recipe.  Only choice cuts are used, no snouts, lips, or other unappetizing fillers.  No MSG, preservatives, or chemical enhancements of any kind.  This sausage is made by us in our own TDA inspected facility, not a slaughter house, so we can tell you what's NOT in it.  This product will be sealed with RED tape."
"Pork--Breakfast Sausage (Mild, Frozen)",Sentelle's Homemade Sausage Co.,5,1 lb package,19,Exact," Ground ""whole hog"" sausage using our family's own recipe.  Only choice cuts are used, no snouts, lips, or other unappetizing fillers.  No MSG, preservatives, or chemical enhancements of any kind.  This sausage is made by us in our own TDA inspected facility, not a slaughter house, so we can tell you what's NOT in it.  This product will be sealed with YELLOW tape."
Pork--Chops (Frozen),Sentelle's Homemade Sausage Co.,6.5,2 Chops,0,Exact,"Pork Chops hand trimmed cut 7/8-1 inch thick  by us in our own TDA inspected facility.  Chops are great pan fried, broiled, or tossed on the grill for a great meal.  Season as you wish and enjoy!  Our chops come from only ""prime"" animals and therefore you can taste the difference."
"Pork--Ground, No Seasonings",Sentelle's Homemade Sausage Co.,4.5,1 lb package,2,Exact,"Ground ""whole hog"" pork no seasoning  Only choice cuts are used, no snouts, lips, or other unappetizing fillers.  No MSG, preservatives, or chemical enhancements of any kind.  This ground pork is made by us in our own TDA inspected facility, not a slaughter house, so we can tell you what's NOT in it.  "
"Pork--Italian Sausage (Links, Frozen)",Sentelle's Homemade Sausage Co.,6.75,5 links (approx. 1 lb.),0,Exact,"Italian style handmade sausage stuffed in natural casings using our family's own recipe.  As with all of our sausage we use only choice cuts.  Absolutely no fillers, preservatives, MSG, or any kind of chemical enhancements are used. This and all of our products are made by us in our own TDA inspected facility. "
"Pork--NON GMO Ground, unseasoned",JEM Farm,5,Pound,5,Exact,"1 pound packages of fresh pork sausage from our sow.  This is unseasoned ground pork, no spices added.

Our pigs are unconfined and free to roam free in our woods. We suppliment their foraging with Certified Organic Corn and a small amount of kitchen scraps."
Pork--Non GMO Roast,JEM Farm,18,Ea,0,Exact,"Wonderfully deeeeeeeelishiouse. These roasts are around 4 lbs and will melt in your mouth. 

Slow roast with a little apple sauce and make some potato pancakes. This couldn't be better for a chilly fall day. 

Our pigs, in fact ALL our animals are fed non GMO feed we get shipped in from out of state. This is whole grain and guaranteed to have less than .05% genetically modified content. 

We never use antibiotics, hormones or chemicals of any kind and our pigs are never confined and always pasture raised. 

So tree at yourself to a meal that is not only going to be tasty but also good for you. "
Pork--NON GMO Sage Breakfast Sausage,JEM Farm,5,Pound,8,Exact,"NON GMO, 1 pound packages of fresh pork sausage from our sow. This is breakfast sausage seasoned with sage.

Our pigs are unconfined and free to roam free in our woods. We suppliment their foraging with Certified Organic Corn and a small amount of kitchen scraps.

"
Pork--Ribs (Frozen),Sentelle's Homemade Sausage Co.,8.5,2.5lb,0,Exact,"Our ribs are cut by hand by us, in our own TDA inspected facility, NOT in a slaughter house. We use only top hogs in our products no old animals only the best cuts of meats . We don't separate them into baby backs or St. Louis cut.  Both of these cuts will be in the package on a longer, meatier, rib section.  This allows you to get the best of both worlds.  The only ingredient in the pack is pork ribs, no enhancing solutions or preservatives of any kind.  "
"Soap - ""Nature Girl"" Soap - Handmade",Ginny Wall - All Nature Sings,6,Approximately 4 oz.,0,Exact,"This soap has fragrance I created to be CLEAN AND FRESH like the outdoors.  I used a combination of pure essential oils and fragrance oils to arrive at this scent.  It contains hints of sweet grass, tuberose moss, lemon verbena (and more, but I'm not giving away all my secrets).  
This soap is made in small batches and hand-cut to approximately 4 oz. bars.  This is a simple old-fashion recipe including olive and coconut oil, sodium hydroxide, distilled water, an herbal infusion made with herbs from my garden, essential oils, and fragrance oils.
Each soap comes in an organza bag - perfect for gift-giving!

This soap was designed to pair with ""Nature Girl"" Perfume Solid.  Listed under Bath and Beauty Category."
"Soap - ""Vineyard"" Soap - Handmade",Ginny Wall - All Nature Sings,6,Approximately 4 oz.,-2,Exact,"This soap has fragrance I created to be SWEET AND SMOKEY almost like Merlot.  I used a combination of pure essential oils and fragrance oils to arrive at this scent.  It contains hints of berries, pears (and more, but I'm not giving away all my secrets).  
This soap is made in small batches and hand-cut to approximately 4 oz. bars.  This is a simple old-fashion recipe including olive and coconut oil, sodium hydroxide, distilled water, an herbal infusion made with herbs from my garden, essential oils, and fragrance oils.
Each soap comes in an organza bag - perfect for gift-giving!

"
Soap - ALPACA FACIAL SCRUBBY SOAP - Handmade,Ginny Wall - All Nature Sings,10,Approximately 4 oz.,3,Exact,"This little gem is one of my handmade soaps completely and seamlessly surrounded by ALPACA roving.  The process is called wet felting.  The Alpaca fibers make this a wonderfully effective, yet gentle way to cleanse and exfoliate your face. 
To care for your ""scrubby"" make sure to dry it between uses.   After the soap is gone just rub the alpaca scrubby on another soap. I have selected only natural color alpaca roving.  Each ""scrubby"" will look a little different as the felting process is rather 'free-style'.  Each soap inside the alpaca roving is approximately 4 oz. 

Did you know Alpaca is lanolin free!

My soap is made in small batches and hand-cut to approximately 4 oz. bars.  This is a simple old-fashion recipe including olive and coconut oil, sodium hydroxide, distilled water, an herbal infusion made with herbs from my garden, lots of pure essential oil.

Each soap comes in an organza bag - perfect for gift-giving!"
Soap - Cooling MINT Soap - Handmade,Ginny Wall - All Nature Sings,4,Approximately 3  oz.,1,Exact,"Minty clean. A great wake-up soap. This soap is made in small batches and hand-cut to approximately 4 oz. bars.  This is a simple old-fashion recipe including olive and coconut oil, sodium hydroxide, distilled water, an herbal infusion made with herbs from my garden, lots of pure spearmint and peppermint essential oil.
Each soap comes in an organza bag - perfect for gift-giving!"
Soap - Fireside Soap - Handmade,Ginny Wall - All Nature Sings,6,Approximately 4 oz.,0,Exact,"This soap has fragrance I created to be WARM AND COZY.  I used a combination of pure essential oils and fragrance oils to arrive at this scent.  It contains hints of vanilla, spices and citrus (and more, but I'm not giving away all my secrets).  
This soap is made in small batches and hand-cut to approximately 4 oz. bars.  This is a simple old-fashion recipe including olive and coconut oil, sodium hydroxide, distilled water, an herbal infusion made with herbs from my garden, essential oils, and fragrance oils.
Each soap comes in an organza bag - perfect for gift-giving!

This soap was designed to pair with Fireside Perfume Solid.  Listed under Bath and Beauty Category."
Soap - Fresh Grapefruit Soap - Handmade,Ginny Wall - All Nature Sings,4,Approximately 3  oz.,3,Exact,"A light refreshing citrus fragrance.   This soap is made in small batches and hand-cut to approximately 4 oz. bars.  This is a simple old-fashion recipe including olive and coconut oil, sodium hydroxide, distilled water, an herbal infusion made with herbs from my garden, lots of pure grapefruit and 10x orange essential oil.  A dusting of orange peel details the top of the bar.
Each soap comes in an organza bag - perfect for gift-giving!"
Soap - Lemongrass Soap - Handmade,Ginny Wall - All Nature Sings,6,Approximately 4 oz.,0,Exact,"Fresh and invigorating LEMONGRASS.   This soap is made in small batches and hand-cut to approximately 4 oz. bars.  This is a simple old-fashion recipe including olive and coconut oil, sodium hydroxide, distilled water, an herbal infusion made with herbs from my garden, lots of pure lemon and lemongrass essential oil.
Each soap comes in an organza bag - perfect for gift-giving!"
Tree Peppers,Ranchito la Chiva,6,1 package of 60   ,14,Exact,"Jose and Donna's Tree Peppers!   Package of 60+ Peppers, naturally grown, no chemicals."
Uncured Fat Back,Sentelle's Homemade Sausage Co.,1.5,1/2 lb . pk,8,Exact,These are good for lard or seasoning.
Uncured Ham,JEM Farm,36,Ea,0,Exact,"9+ Lb Non GMO ham, fresh and wonderful. "
